First Name,Last Name,Club,Position,Base Salary,Total Compensation
Nick,DePuy,,F,"$68,254.20 ","$75,754.20 "
Chris,Konopka,,GK,"$67,500.00 ","$67,500.00 "
Muhamed,Keita,,F,"$324,999.96 ","$367,291.71 "
Jose,Leiton,,F-M,"$67,500.00 ","$83,000.00 "
Wandrille,Lefevre,,D,"$109,999.92 ","$119,499.92 "
George,Malki,,D,"$68,254.20 ","$68,254.20 "
Chance,Myers,,D,"$175,008.00 ","$175,008.00 "
Jacob,Peterson,,F,"$173,568.00 ","$180,818.00 "
Tony,Tchani,,M,"$320,000.00 ","$353,333.33 "
Mikey,Ambrose,Atlanta United,D,"$68,906.25 ","$68,906.25 "
Miguel,Almiron,Atlanta United,M,"$1,912,500.00 ","$2,297,000.00 "
Ezequiel,Barco,Atlanta United,M,"$1,425,000.00 ","$1,425,000.00 "
George,Bello,Atlanta United,D,"$67,500.00 ","$71,500.00 "
Andrew,Carleton,Atlanta United,F,"$75,000.00 ","$87,400.00 "
Franco,Escobar,Atlanta United,D,"$250,008.00 ","$250,008.00 "
Greg,Garza,Atlanta United,D,"$175,008.00 ","$175,008.00 "
Jon,Gallagher,Atlanta United,F,"$67,500.00 ","$68,750.00 "
Brad,Guzan,Atlanta United,GK,"$640,008.00 ","$700,008.00 "
Julian,Gressel,Atlanta United,M,"$92,500.00 ","$111,250.00 "
Chris,Goslin,Atlanta United,M,"$80,000.00 ","$84,000.00 "
Mitch,Hildebrandt,Atlanta United,GK,"$67,500.00 ","$67,500.00 "
Jose Rafael,Hernandez,Atlanta United,D,"$120,000.00 ","$120,000.00 "
Lagos,Kunga,Atlanta United,M-F,"$54,500.04 ","$58,500.04 "
Kevin,Kratz,Atlanta United,M,"$165,000.00 ","$179,250.00 "
Alec,Kann,Atlanta United,GK,"$94,008.00 ","$94,008.00 "
Jeff,Larentowicz,Atlanta United,M,"$210,000.00 ","$210,000.00 "
Josef,Martinez,Atlanta United,F,"$1,270,008.00 ","$1,387,318.00 "
Chris,McCann,Atlanta United,M,"$560,000.00 ","$588,000.00 "
Patrick,Okonkwo,Atlanta United,F,"$54,504.00 ","$65,504.00 "
Darlington,Nagbe,Atlanta United,F-M,"$605,000.00 ","$620,000.00 "
Michael,Parkhurst,Atlanta United,D,"$340,008.00 ","$340,008.00 "
Leandro,Pirez,Atlanta United,D,"$650,004.00 ","$685,004.00 "
Miles,Robinson,Atlanta United,D,"$135,000.00 ","$205,000.00 "
Eric,Remedi,Atlanta United,M,"$300,000.00 ","$300,000.00 "
Oliver,Shannon,Atlanta United,M,"$54,500.04 ","$54,500.04 "
Hector,Villalba,Atlanta United,F,"$663,000.00 ","$770,750.00 "
Brandon,Vazquez,Atlanta United,F,"$125,004.00 ","$145,004.00 "
Romario,Williams,Atlanta United,F,"$71,500.00 ","$71,500.00 "
Gordon,Wild,Atlanta United,F,"$90,000.00 ","$120,000.00 "
Andrew,Wheeler-Omiunu,Atlanta United,M,"$55,654.20 ","$55,654.20 "
Sal,Zizzo,Atlanta United,D,"$129,999.96 ","$129,999.96 "
Mohammed,Adams,Chicago Fire,M,"$90,000.00 ","$125,000.00 "
Brandt,Bronico,Chicago Fire,M,"$68,254.00 ","$68,254.00 "
Diego,Campos,Chicago Fire,M,"$54,500.04 ","$54,500.04 "
Jonathan,Campbell,Chicago Fire,D,"$120,175.00 ","$128,300.00 "
Drew,Conner,Chicago Fire,M,"$68,907.30 ","$68,907.30 "
Elliot,Collier,Chicago Fire,F,"$54,500.04 ","$54,500.04 "
Stefan,Cleveland,Chicago Fire,GK,"$55,654.20 ","$55,654.20 "
Nicolas,Del Grecco,Chicago Fire,D,"$90,000.00 ","$91,125.00 "
Christian,Dean,Chicago Fire,D,"$90,000.00 ","$93,125.00 "
Michael,de Leeuw,Chicago Fire,F,"$525,000.00 ","$589,212.50 "
Jorge,Corrales,Chicago Fire,D,"$67,500.00 ","$67,500.00 "
Raheem,Edwards,Chicago Fire,F,"$55,654.20 ","$55,654.20 "
Nicolas,Hasler,Chicago Fire,D-M,"$132,000.00 ","$147,666.67 "
Alan,Gordon,Chicago Fire,F,"$150,000.00 ","$155,000.00 "
Daniel,Johnson,Chicago Fire,M,"$68,254.20 ","$68,254.20 "
Aleksandar,Katai,Chicago Fire,M,"$1,200,000.00 ","$1,320,333.33 "
Johan,Kappelhof,Chicago Fire,D,"$555,000.00 ","$595,000.00 "
Grant,Lillard,Chicago Fire,D,"$80,000.04 ","$82,500.04 "
Patrick,McLain,Chicago Fire,GK,"$67,500.00 ","$67,500.00 "
Dax,McCarty,Chicago Fire,M,"$700,000.08 ","$712,500.08 "
Yura,Movsisyan,Chicago Fire,F,"$1,850,000.00 ","$2,073,750.00 "
Djordje,Mihailovic,Chicago Fire,M,"$96,000.04 ","$96,000.04 "
Nemanja,Nikolic,Chicago Fire,F,"$1,700,000.04 ","$1,906,333.37 "
Matt,Polster,Chicago Fire,M,"$109,890.00 ","$124,890.00 "
Bastian,Schweinsteiger,Chicago Fire,M,"$6,100,000.08 ","$6,100,000.08 "
Richard,Sanchez,Chicago Fire,GK,"$130,000.08 ","$132,500.08 "
Luis,Solignac,Chicago Fire,F,"$300,000.00 ","$353,312.50 "
Brandon,Vincent,Chicago Fire,D,"$122,375.00 ","$144,250.00 "
Nana,Adjei-Boateng,Colorado Rapids,M,"$320,004.00 ","$361,250.00 "
Kellyn,Acosta,Colorado Rapids,M,"$280,000.00 ","$300,000.00 "
Cole,Bassett,Colorado Rapids,M,"$60,000.00 ","$69,000.00 "
Giles,Barnes,Colorado Rapids,F-M,"$200,000.04 ","$200,000.04 "
Yannick,Boli,Colorado Rapids,F,"$774,999.96 ","$907,499.96 "
Johan,Blomberg,Colorado Rapids,M,"$239,808.00 ","$239,808.00 "
Caleb,Calvert,Colorado Rapids,F,"$105,000.00 ","$105,000.00 "
Kip,Colvey,Colorado Rapids,D,"$67,500.00 ","$67,500.00 "
Edgar,Castillo,Colorado Rapids,D,"$99,996.00 ","$129,996.00 "
