Club,Total_Compensation,Points,Playoffs
Atlanta United,11606330.49,69,yes
Chicago Fire,15531522.67,32,no
Colorado Rapids,9741570.96,31,no
Columbus Crew,7715954.14,51,yes
DC United,9689537.84,51,yes
FC Dallas,9334556.52,57,yes
Houston Dynamo,5896563.27,38,no
LA Galaxy,17507008.30,48,no
LAFC,14134135.99,57,yes
Minnesota United,8542121.37,36,no
Montreal Impact,12642036.90,46,no
New England Revolution,7471669.49,41,no
New York City FC,14824390.78,56,yes
New York Red Bulls,8064992.45,71,yes
Orlando City SC,8873899.44,28,no
Philadelphia Union,8914581.59,50,yes
Portland Timbers,10994792.96,54,yes
Real Salt Lake,8132415.56,49,yes
San Jose Earthquakes,8308343.41,21,no
Seattle Sounders FC,13427648.33,59,yes
Sporting Kansas City,11554237.01,62,yes
Toronto FC,26559206.65,36,no
Vancouver Whitecaps,8107770.17,47,no
